IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
120058272,WEAPON LAWS,POSS OF PROHIBITED WEAPON,Friday,01/29/2016 12:00:00 AM,11:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034,37.7754207,"(37.775420706711, -122.403404791479)",1.2006E+13
120058272,WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",Friday,01/29/2016 12:00:00 AM,11:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034,37.7754207,"(37.775420706711, -122.403404791479)",1.2006E+13
141059263,WARRANTS,WARRANT ARREST,Monday,04/25/2016 12:00:00 AM,14:59,BAYVIEW,"ARREST, BOOKED",KEITH ST / SHAFTER AV,-122.38886,37.729981,"(37.7299809672996, -122.388856204292)",1.4106E+13
160013662,NON-CRIMINAL,LOST PROPERTY,Tuesday,##########,23:50,TENDERLOIN,NONE,JONES ST / OFARRELL ST,-122.41297,37.7857884,"(37.7857883766888, -122.412970537591)",1.6001E+13
160002740,NON-CRIMINAL,LOST PROPERTY,Friday,##########,00:30,MISSION,NONE,16TH ST / MISSION ST,-122.41967,37.7650501,"(37.7650501214668, -122.419671780296)",1.6E+13
160002869,ASSAULT,BATTERY,Friday,##########,21:35,NORTHERN,NONE,1700 Block of BUSH ST,-122.42608,37.7880186,"(37.788018555829, -122.426077177375)",1.6E+13
160003130,OTHER OFFENSES,PAROLE VIOLATION,Saturday,##########,00:04,SOUTHERN,"ARREST, BOOKED",MARY ST / HOWARD ST,-122.40572,37.7808789,"(37.7808789360214, -122.405721454567)",1.6E+13
160003259,NON-CRIMINAL,FIRE REPORT,Saturday,##########,01:02,TENDERLOIN,NONE,200 Block of EDDY ST,-122.41178,37.7839806,"(37.7839805592634, -122.411778295992)",1.6E+13
160003970,WARRANTS,WARRANT ARREST,Saturday,##########,12:21,SOUTHERN,"ARREST, BOOKED",4TH ST / BERRY ST,-122.39336,37.7757876,"(37.7757876218293, -122.393357241451)",1.6E+13
160003641,MISSING PERSON,FOUND PERSON,Friday,##########,10:06,BAYVIEW,NONE,100 Block of CAMERON WY,-122.38718,37.720967,"(37.7209669615499, -122.387181635995)",1.6E+13
160086863,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Friday,01/29/2016 12:00:00 AM,22:30,TARAVAL,NONE,1200 Block of 19TH AV,-122.47738,37.7644782,"(37.7644781578695, -122.477376524003)",1.6009E+13
160004053,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,##########,13:30,TARAVAL,NONE,2200 Block of 21ST AV,-122.47796,37.7457389,"(37.7457389429655, -122.477960327299)",1.6E+13
160073014,OTHER OFFENSES,RESISTING ARREST,Monday,01/25/2016 12:00:00 AM,23:20,BAYVIEW,"ARREST, BOOKED",200 Block of HUNTERSPOINT BL,-122.37676,37.735697,"(37.7356970275482, -122.37675765553)",1.6007E+13
140776777,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Thursday,09/15/2016 12:00:00 AM,07:40,INGLESIDE,"ARREST, BOOKED",SILVER AV / CAMELLIA AV,-122.43233,37.7292705,"(37.7292705199592, -122.432325871028)",1.4078E+13
160004069,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,##########,01:43,CENTRAL,NONE,100 Block of SANSOME ST,-122.40091,37.791643,"(37.791642982384, -122.40090869889)",1.6E+13
160004150,STOLEN PROPERTY,"STOLEN CHECKS, POSSESSION",Saturday,##########,11:54,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.4086,37.7837069,"(37.7837069301545, -122.408595110869)",1.6E+13
160004241,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Saturday,##########,14:11,MISSION,NONE,900 Block of POTRERO AV,-122.40687,37.7572896,"(37.7572895904578, -122.406870402082)",1.6E+13
160004558,ASSAULT,BATTERY WITH SERIOUS INJURIES,Saturday,##########,16:40,MISSION,NONE,VALENCIA ST / 26TH ST,-122.42035,37.7489063,"(37.7489063051829, -122.420354780861)",1.6E+13
160004655,ASSAULT,BATTERY,Saturday,##########,17:05,INGLESIDE,NONE,900 Block of GENEVA AV,-122.43991,37.7157654,"(37.715765426995, -122.439909766772)",1.6E+13
160004837,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,##########,17:39,SOUTHERN,JUVENILE BOOKED,900 Block of MARKET ST,-122.40842,37.7835699,"(37.7835699386918, -122.408421116922)",1.6E+13
160005421,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Saturday,##########,21:00,NORTHERN,NONE,GOUGH ST / ROSE ST,-122.42232,37.7736186,"(37.7736186276456, -122.422315670749)",1.6001E+13
160005750,WARRANTS,WARRANT ARREST,Sunday,##########,04:03,NORTHERN,"ARREST, BOOKED",FRANKLIN ST / WASHINGTON ST,-122.42452,37.7928413,"(37.7928412840447, -122.424519835009)",1.6001E+13
160005841,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,##########,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-122.41423,37.7540987,"(37.7540986882068, -122.414233849038)",1.6001E+13
160005841,OTHER OFFENSES,PROBATION VIOLATION,Sunday,##########,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-122.41423,37.7540987,"(37.7540986882068, -122.414233849038)",1.6001E+13
160006071,ASSAULT,THREATS AGAINST LIFE,Sunday,##########,09:38,RICHMOND,"ARREST, BOOKED",FULTON ST / 47TH AV,-122.50775,37.771494,"(37.7714939969416, -122.507750131004)",1.6001E+13
160006598,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Sunday,##########,15:09,TARAVAL,"ARREST, BOOKED",0 Block of CAMBON DR,-122.47444,37.7183022,"(37.718302204766, -122.474444639595)",1.6001E+13
160006770,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,##########,10:30,MISSION,NONE,16TH ST / LANDERS ST,-122.42756,37.7645752,"(37.7645752317615, -122.427562596985)",1.6001E+13
160006786,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,##########,15:45,NORTHERN,"ARREST, BOOKED",0 Block of HEMLOCK ST,-122.4192,37.7874378,"(37.7874378309112, -122.419203004268)",1.6001E+13
160006952,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,##########,17:02,MISSION,"ARREST, BOOKED",26TH ST / TREAT AV,-122.41269,37.7493688,"(37.7493688284532, -122.412690142308)",1.6001E+13
160007057,NON-CRIMINAL,AIDED CASE,Sunday,##########,17:01,INGLESIDE,NONE,500 Block of CORDOVA ST,-122.43461,37.709201,"(37.7092010462379, -122.434609280352)",1.6001E+13
160007110,VEHICLE THEFT,STOLEN TRUCK,Sunday,##########,15:40,CENTRAL,NONE,500 Block of POST ST,-122.41088,37.7879209,"(37.7879209375533, -122.410882825551)",1.6001E+13
160007132,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,##########,09:00,CENTRAL,NONE,GREEN ST / BATTERY ST,-122.40143,37.8004566,"(37.8004566471039, -122.401432754722)",1.6001E+13
